ciudad,codigo,depto_codigo,mun_codigo
MEDELLÍN,05001,05,001
ABEJORRAL,05002,05,002
ABRIAQUÍ,05004,05,004
ALEJANDRÍA,05021,05,021
AMAGÁ,05030,05,030
AMALFI,05031,05,031
ANDES,05034,05,034
ANGELÓPOLIS,05036,05,036
ANGOSTURA,05038,05,038
ANORÍ,05040,05,040
SANTAFÉ DE ANTIOQUIA,05042,05,042
ANZA,05044,05,044
APARTADÓ,05045,05,045
ARBOLETES,05051,05,051
ARGELIA,05055,05,055
ARMENIA,05059,05,059
BARBOSA,05079,05,079
BELMIRA,05086,05,086
BELLO,05088,05,088
BETANIA,05091,05,091
BETULIA,05093,05,093
CIUDAD BOLÍVAR,05101,05,101
BRICEÑO,05107,05,107
BURITICÁ,05113,05,113
CÁCERES,05120,05,120
CAICEDO,05125,05,125
CALDAS,05129,05,129
CAMPAMENTO,05134,05,134
CAÑASGORDAS,05138,05,138
CARACOLÍ,05142,05,142
CARAMANTA,05145,05,145
CAREPA,05147,05,147
EL CARMEN DE VIBORAL,05148,05,148
CAROLINA,05150,05,150
CAUCASIA Códigos,05154,05,154
CHIGORODÓ Municipios,05172,05,172
CISNEROS,05190,05,190
COCORNÁ,05197,05,197
CONCEPCIÓN,05206,05,206
COPACABANA,05212,05,212
DABEIBA,05234,05,234
DON MATÍAS,05237,05,237
EBÉJICO,05240,05,240
EL BAGRE,05250,05,250
ENTRERRIOS,05264,05,264
ENVIGADO,05266,05,266
FREDONIA,05282,05,282
FRONTINO,05284,05,284
GIRALDO,05306,05,306
GIRARDOTA,05308,05,308
GÓMEZ PLATA,05310,05,310
GRANADA,05313,05,313
GUADALUPE,05315,05,315
GUARNE,05318,05,318
GUATAPE,05321,05,321
HELICONIA,05347,05,347
HISPANIA,05353,05,353
ITAGUI,05360,05,360
ITUANGO,05361,05,361
JARDÍN,05364,05,364
JERICÓ,05368,05,368
LA CEJA,05376,05,376
LA ESTRELLA,05380,05,380
LA PINTADA,05390,05,390
LA UNIÓN,05400,05,400
LIBORINA,05411,05,411
MACEO,05425,05,425
MARINILLA,05440,05,440
MONTEBELLO,05467,05,467
MURINDÓ,05475,05,475
MUTATÁ,05480,05,480
NARIÑO,05483,05,483
NECOCLÍ,05490,05,490
NECHÍ,05495,05,495
OLAYA,05501,05,501
PEÑOL,05541,05,541
PEQUE,05543,05,543
PUEBLORRICO,05576,05,576
PUERTO BERRÍO,05579,05,579
PUERTO NARE,05585,05,585
PUERTO TRIUNFO,05591,05,591
REMEDIOS,05604,05,604
RETIRO,05607,05,607
RIONEGRO,05615,05,615
SABANALARGA,05628,05,628
SABANETA,05631,05,631
SALGAR,05642,05,642
SAN ANDRÉS DE CUERQUÍA,05647,05,647
SAN CARLOS,05649,05,649
SAN FRANCISCO,05652,05,652
SAN JERÓNIMO,05656,05,656
SAN JOSÉ DE LA MONTAÑA,05658,05,658
SAN JUAN DE URABÁ,05659,05,659
SAN LUIS,05660,05,660
SAN PEDRO,05664,05,664
SAN PEDRO DE URABA,05665,05,665
SAN RAFAEL,05667,05,667
SAN ROQUE,05670,05,670
SAN VICENTE,05674,05,674
SANTA BÁRBARA,05679,05,679
SANTA ROSA DE OSOS,05686,05,686
SANTO DOMINGO,05690,05,690
EL SANTUARIO,05697,05,697
SEGOVIA,05736,05,736
SONSON,05756,05,756
SOPETRÁN,05761,05,761
TÁMESIS,05789,05,789
TARAZÁ,05790,05,790
TARSO,05792,05,792
TITIRIBÍ,05809,05,809
TOLEDO,05819,05,819
TURBO,05837,05,837
URAMITA,05842,05,842
URRAO Códigos,05847,05,847
VALDIVIA Municipios,05854,05,854
VALPARAÍSO,05856,05,856
VEGACHÍ,05858,05,858
VENECIA,05861,05,861
YALÍ,05885,05,885
YARUMAL,05887,05,887
YOLOMBÓ,05890,05,890
YONDÓ,05893,05,893
ZARAGOZA,05895,05,895
BARRANQUILLA,08001,08,001
BARANOA,08078,08,078
CAMPO DE LA CRUZ,08137,08,137
CANDELARIA,08141,08,141
GALAPA,08296,08,296
JUAN DE ACOSTA,08372,08,372
LURUACO,08421,08,421
MALAMBO,08433,08,433
MANATÍ,08436,08,436
PALMAR DE VARELA,08520,08,520
PIOJÓ,08549,08,549
POLONUEVO,08558,08,558
PONEDERA,08560,08,560
PUERTO COLOMBIA,08573,08,573
REPELÓN,08606,08,606
SABANAGRANDE,08634,08,634
SABANALARGA,08638,08,638
SANTA LUCÍA,08675,08,675
SANTO TOMÁS,08685,08,685
SOLEDAD,08758,08,758
SUAN,08770,08,770
TUBARÁ,08832,08,832
USIACURÍ,08849,08,849
"BOGOTÁ, D.C.",11001,11,001
CARTAGENA,13001,13,001
ACHÍ,13006,13,006
ALTOS DEL ROSARIO,13030,13,030
ARENAL,13042,13,042
ARJONA,13052,13,052
ARROYOHONDO,13062,13,062
BARRANCO DE LOBA,13074,13,074
CALAMAR,13140,13,140
CANTAGALLO,13160,13,160
CICUCO,13188,13,188
CÓRDOBA,13212,13,212
CLEMENCIA,13222,13,222
EL CARMEN DE BOLÍVAR,13244,13,244
EL GUAMO,13248,13,248
EL PEÑÓN,13268,13,268
HATILLO DE LOBA,13300,13,300
MAGANGUÉ,13430,13,430
MAHATES,13433,13,433
MARGARITA,13440,13,440
MARÍA LA BAJA,13442,13,442
MONTECRISTO,13458,13,458
MOMPÓS,13468,13,468
MORALES,13473,13,473
PINILLOS,13549,13,549
REGIDOR,13580,13,580
RÍO VIEJO,13600,13,600
SAN CRISTÓBAL,13620,13,620
SAN ESTANISLAO,13647,13,647
SAN FERNANDO,13650,13,650
SAN JACINTO,13654,13,654
SAN JACINTO DEL CAUCA,13655,13,655
SAN JUAN NEPOMUCENO,13657,13,657
SAN MARTÍN DE LOBA,13667,13,667
SAN PABLO,13670,13,670
SANTA CATALINA,13673,13,673
SANTA ROSA,13683,13,683
SANTA ROSA DEL SUR,13688,13,688
SIMITÍ,13744,13,744
SOPLAVIENTO,13760,13,760
TALAIGUA NUEVO,13780,13,780
TIQUISIO,13810,13,810
TURBACO,13836,13,836
TURBANÁ,13838,13,838
VILLANUEVA,13873,13,873
ZAMBRANO,13894,13,894
TUNJA Códigos,15001,15,001
ALMEIDA,15022,15,022
AQUITANIA,15047,15,047
ARCABUCO,15051,15,051
BELÉN,15087,15,087
BETÉITIVA,15092,15,092
BOAVITA,15097,15,097
BOYACÁ,15104,15,104
BRICEÑO,15106,15,106
BUENAVISTA,15109,15,109
BUSBANZÁ,15114,15,114
CALDAS,15131,15,131
CAMPOHERMOSO,15135,15,135
CERINZA,15162,15,162
CHINAVITA,15172,15,172
CHIQUINQUIRÁ,15176,15,176
CHISCAS,15180,15,180
CHITA,15183,15,183
CHITARAQUE,15185,15,185
CHIVATÁ,15187,15,187
CIÉNEGA,15189,15,189
CÓMBITA,15204,15,204
COPER,15212,15,212
CORRALES,15215,15,215
COVARACHÍA,15218,15,218
CUBARÁ,15223,15,223
CUCAITA,15224,15,224
CUÍTIVA,15226,15,226
CHÍQUIZA,15232,15,232
CHIVOR,15236,15,236
DUITAMA,15238,15,238
EL COCUY,15244,15,244
EL6aSPINO,15248,15,248
FIRAVITOBA,15272,15,272
FLORESTA,15276,15,276
GACHANTIVÁ,15293,15,293
GAMEZA,15296,15,296
GARAGOA,15299,15,299
GUACAMAYAS,15317,15,317
GUATEQUE,15322,15,322
GUAYATÁ,15325,15,325
GÜICÁN,15332,15,332
IZA,15362,15,362
JENESANO,15367,15,367
JERICÓ,15368,15,368
LABRANZAGRANDE,15377,15,377
LA CAPILLA,15380,15,380
LA VICTORIA,15401,15,401
LA UVITA,15403,15,403
VILLA DE LEYVA,15407,15,407
MACANAL,15425,15,425
MARIPÍ,15442,15,442
MIRAFLORES,15455,15,455
MONGUA,15464,15,464
MONGUÍ,15466,15,466
MONIQUIRÁ,15469,15,469
MOTAVITA,15476,15,476
MUZO,15480,15,480
NOBSA,15491,15,491
NUEVO COLÓN,15494,15,494
OICATÁ,15500,15,500
OTANCHE,15507,15,507
PACHAVITA,15511,15,511
PÁEZ,15514,15,514
PAIPA,15516,15,516
PAJARITO,15518,15,518
PANQUEBA,15522,15,522
PAUNA,15531,15,531
PAYA,15533,15,533
PAZ DE RÍO,15537,15,537
PESCA,15542,15,542
PISBA,15550,15,550
PUERTO BOYACÁ,15572,15,572
QUÍPAMA,15580,15,580
RAMIRIQUÍ,15599,15,599
RÁQUIRA,15600,15,600
RONDÓN,15621,15,621
SABOYÁ,15632,15,632
SÁCHICA,15638,15,638
SAMACÁ,15646,15,646
SAN EDUARDO,15660,15,660
SAN JOSÉ DE PARE,15664,15,664
SAN LUIS DE GACENO,15667,15,667
SAN MATEO,15673,15,673
SAN PABLO DE BORBUR,15681,15,681
SANTANA,15686,15,686
SANTA MARÍA,15690,15,690
SANTA ROSA DE VITERBO,15693,15,693
SANTA SOFÍA,15696,15,696
SATIVANORTE,15720,15,720
SATIVASUR,15723,15,723
SIACHOQUE,15740,15,740
SOATÁ,15753,15,753
SOCOTÁ,15755,15,755
SOCHA,15757,15,757
SOGAMOSO,15759,15,759
SOMONDOCO,15761,15,761
SORA,15762,15,762
SOTAQUIRÁ,15763,15,763
SORACÁ,15764,15,764
SUSACÓN,15774,15,774
SUTAMARCHÁN,15776,15,776
SUTATENZA,15778,15,778
TASCO,15790,15,790
TENZA,15798,15,798
TIBANÁ,15804,15,804
TIBASOSA,15806,15,806
TINJACÁ,15808,15,808
TIPACOQUE,15810,15,810
TOCA,15814,15,814
TOGÜÍ,15816,15,816
TÓPAGA,15820,15,820
TOTA,15822,15,822
TUNUNGUÁ,15832,15,832
TURMEQUÉ,15835,15,835
TUTA,15837,15,837
TUTAZÁ,15839,15,839
UMBITA,15842,15,842
VENTAQUEMADA,15861,15,861
VIRACACHÁ,15879,15,879
ZETAQUIRA,15897,15,897
MANIZALES,17001,17,001
AGUADAS,17013,17,013
ANSERMA,17042,17,042
ARANZAZU,17050,17,050
BELALCÁZAR,17088,17,088
CHINCHINÁ,17174,17,174
FILADELFIA,17272,17,272
LA DORADA,17380,17,380
LA MERCED,17388,17,388
MANZANARES,17433,17,433
MARMATO,17442,17,442
MARQUETALIA,17444,17,444
MARULANDA,17446,17,446
NEIRA,17486,17,486
NORCASIA,17495,17,495
PÁCORA,17513,17,513
PALESTINA,17524,17,524
PENSILVANIA,17541,17,541
RIOSUCIO,17614,17,614
RISARALDA,17616,17,616
SALAMINA,17653,17,653
SAMANÁ,17662,17,662
SAN JOSÉ,17665,17,665
SUPÍA,17777,17,777
VICTORIA,17867,17,867
VILLAMARÍA,17873,17,873
VITERBO,17877,17,877
FLORENCIA,18001,18,001
ALBANIA,18029,18,029
BELÉN DE LOS ANDAQUIES,18094,18,094
CARTAGENA DEL CHAIRÁ,18150,18,150
CURILLO,18205,18,205
EL DONCELLO,18247,18,247
EL PAUJIL,18256,18,256
LA MONTAÑITA,18410,18,410
MILÁN,18460,18,460
MORELIA,18479,18,479
PUERTO RICO Códigos,18592,18,592
SAN JOSÉ DEL FRAGUA,18610,18,610
SAN VICENTE DEL CAGUÁN,18753,18,753
SOLANO,18756,18,756
SOLITA,18785,18,785
POPAYÁN,19001,19,001
ALMAGUER,19022,19,022
ARGELIA,19050,19,050
BALBOA,19075,19,075
BOLÍVAR,19100,19,100
BUENOS AIRES,19110,19,110
CAJIBÍO,19130,19,130
CALDONO,19137,19,137
CALOTO,19142,19,142
CORINTO,19212,19,212
EL TAMBO,19256,19,256
FLORENCIA,19290,19,290
GUACHENÉ,19300,19,300
GUAPI,19318,19,318
INZÁ,19355,19,355
JAMBALÓ,19364,19,364
LA SIERRA,19392,19,392
LA VEGA,19397,19,397
LÓPEZ,19418,19,418
MERCADERES,19450,19,450
MIRANDA,19455,19,455
MORALES,19473,19,473
PADILLA,19513,19,513
PAEZ,19517,19,517
PATÍA,19532,19,532
PIAMONTE,19533,19,533
PIENDAMÓ,19548,19,548
PUERTO TEJADA,19573,19,573
PURACÉ,19585,19,585
ROSAS,19622,19,622
SAN SEBASTIÁN,19693,19,693
SANTANDER DE QUILICHAO,19698,19,698
SANTA ROSA,19701,19,701
SILVIA,19743,19,743
SOTARA,19760,19,760
SUÁREZ,19780,19,780
SUCRE,19785,19,785
TIMBÍO,19807,19,807
TIMBIQUÍ,19809,19,809
TORIBIO,19821,19,821
TOTORÓ,19824,19,824
VILLA RICA,19845,19,845
VALLEDUPAR,20001,20,001
AGUACHICA,20011,20,011
AGUSTÍN CODAZZI,20013,20,013
ASTREA,20032,20,032
BECERRIL,20045,20,045
BOSCONIA,20060,20,060
CHIMICHAGUA,20175,20,175
CHIRIGUANÁ,20178,20,178
CURUMANÍ,20228,20,228
EL COPEY,20238,20,238
EL PASO,20250,20,250
GAMARRA,20295,20,295
GONZÁLEZ,20310,20,310
LA GLORIA,20383,20,383
LA JAGUA DE IBIRICO,20400,20,400
MANAURE,20443,20,443
PAILITAS,20517,20,517
PELAYA,20550,20,550
PUEBLO BELLO,20570,20,570
RÍO DE ORO,20614,20,614
LA PAZ,20621,20,621
SAN ALBERTO,20710,20,710
SAN DIEGO,20750,20,750
SAN MARTÍN,20770,20,770
TAMALAMEQUE,20787,20,787
MONTERÍA,23001,23,001
AYAPEL,23068,23,068
BUENAVISTA,23079,23,079
CANALETE,23090,23,090
CERETÉ,23162,23,162
CHIMÁ,23168,23,168
CHINÚ,23182,23,182
CIÉNAGA DE ORO Códigos,23189,23,189
COTORRA,23300,23,300
LA APARTADA,23350,23,350
LORICA,23417,23,417
LOS CÓRDOBAS,23419,23,419
MOÑITOS,23500,23,500
PLANETA RICA,23555,23,555
PUEBLO NUEVO,23570,23,570
PUERTO ESCONDIDO,23574,23,574
PUERTO LIBERTADOR,23580,23,580
PURÍSIMA,23586,23,586
SAHAGÚN,23660,23,660
SAN ANDRÉS SOTAVENTO,23670,23,670
SAN ANTERO,23672,23,672
SAN BERNARDO DEL VIENTO,23675,23,675
SAN CARLOS,23678,23,678
SAN PELAYO,23686,23,686
TIERRALTA,23807,23,807
VALENCIA,23855,23,855
AGUA DE DIOS,25001,25,001
ALBÁN,25019,25,019
ANAPOIMA,25035,25,035
ANOLAIMA,25040,25,040
ARBELÁEZ,25053,25,053
BELTRÁN,25086,25,086
